WARNING:02/28/2021 01:05:44 AM Gun detected, path: threats\ce68bd71-5f83-470e-b294-c6092f4bcf9f_Gun.jpg
ERROR:02/28/2021 01:05:45 AM (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials f9sm12492962wro.77 - gsmtp')
WARNING:02/28/2021 01:05:49 AM Gun detected, path: threats\bae629d1-ecb1-4b75-981b-f3502a3f45bd_Gun.jpg
ERROR:02/28/2021 01:05:50 AM (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials f9sm12493120wro.77 - gsmtp')
WARNING:03/02/2021 03:24:07 PM Knife detected, path: threats/8f21d4bb-eb57-4a94-b321-a8ee771752bb_Knife.jpg
ERROR:03/02/2021 03:24:08 PM (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials p12sm2073297wmq.1 - gsmtp')
WARNING:03/02/2021 03:24:18 PM Knife detected, path: threats/f53bbc78-ce1b-46a3-8423-bfab6fb7c589_Knife.jpg
ERROR:03/02/2021 03:24:19 PM (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials a14sm31886208wrg.84 - gsmtp')
WARNING:03/02/2021 03:24:24 PM Knife detected, path: threats/e8a3d9e9-4282-47ce-a77f-cbe6b9fb5247_Knife.jpg
ERROR:03/02/2021 03:24:25 PM (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials j12sm16529014wrt.27 - gsmtp')
WARNING:03/02/2021 03:24:38 PM Knife detected, path: threats/0dc96378-1a4c-4e99-b1e7-add3bc389a66_Knife.jpg
ERROR:03/02/2021 03:24:40 PM (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials q15sm28207238wrr.58 - gsmtp')
WARNING:03/02/2021 03:27:48 PM Gun detected, path: threats/669ead04-93fd-43ab-81f4-e96721d09305_Gun.jpg
ERROR:03/02/2021 03:27:51 PM (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials p10sm14326170wrw.33 - gsmtp')
WARNING:03/02/2021 03:28:07 PM Knife detected, path: threats/9656a908-6c97-43e7-9d5b-2cc49a18dc54_Knife.jpg
ERROR:03/02/2021 03:28:09 PM (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials f9sm21697013wro.77 - gsmtp')
WARNING:03/02/2021 03:43:25 PM Knife detected, path: threats/13e2fb16-510a-40a6-b9da-bfdcc2347585_Knife.jpg
ERROR:03/02/2021 03:43:27 PM (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials g16sm8503238wrs.76 - gsmtp')
WARNING:03/02/2021 03:50:29 PM Knife detected, path: threats/ba2ae33a-59e0-4657-b7d0-ee84b2f775c9_Knife.jpg
ERROR:03/02/2021 03:50:31 PM (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials r10sm2798942wmh.45 - gsmtp')
WARNING:03/02/2021 03:55:41 PM Knife detected, path: threats/6ae9f248-01d1-49e2-9812-aa91d27bead2_Knife.jpg
